"ID","start","end","Intro_camp_label","pop_groups","X_Final_04_longitude","X_Final_04_latitude","drinking_water_source","drinking_water_location","electicity_or_light_source_most_used","main_toilet_facility","cooking_at_hh_level","hh_cooking_source","hh_cooking_fuel","land_ownership","landownership_legal_docs","Improved_dw","Improved_dw_final","electricity","shared_san_facility","Improved_san","crowding_cat","Clean_cookingfuel","time_to_access_water_min","number_of_hhmembers","lat","lon","interviewdate","id","living_conditions_score","living_conditions_category"
18,"2023-07-18","2023-07-18","Doro","host community member",33.7421574,9.9634098,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","Yes",1,0,0,0,0,1,0,300,8,9.9634098,33.7421574,"2023-07-18",18,2,"Good"
19,"2023-05-19","2023-05-19","MAKPANDU","refugee",28.6985708,4.7519733,"Tube Well/Borehole","Elsewhere","No electricity in household","Pit latrine with slab","Yes","Three stone stove/open fire","Woodchips","Unrelated Person","No",1,0,0,0,1,0,0,30,5,4.7519733,28.6985708,"2023-05-19",19,2,"Good"
20,"2023-07-01","2023-07-01","Yusuf Batil","refugee",33.5674683,9.9675822,"Public Tap/Standpipe","Elsewhere","No electricity in household","Flush/pour-flush to pit latrine","Yes","Build stove with bricks and/or mud","Coal/lignite unprocessed","Unrelated Person","No",1,0,0,0,1,0,0,600,6,9.9675822,33.5674683,"2023-07-01",20,2,"Good"
21,"2023-09-04","2023-09-04","Andari","refugee",27.7236718,4.9539636,"Unprotected Dug Well","Elsewhere","No electricity in household","Pit latrine with slab","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",0,0,0,1,1,0,0,100,5,4.9539636,27.7236718,"2023-09-04",21,1,"Poor"
22,"2023-07-08","2023-07-08","Yida","host community member",29.9984321,10.2764013,"Unprotected Dug Well","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",0,0,0,0,0,0,0,120,2,10.2764013,29.9984321,"2023-07-08",22,0,"Poor"
23,"2023-07-24","2023-07-24","Pamir","refugee",30.3463953,9.9023898,"Public Tap/Standpipe","Elsewhere","No electricity in household","Ventilated improved pit latrine","Yes","Three stone stove/open fire","Wood","Unrelated Person","Yes",1,0,0,0,1,0,0,180,5,9.9023898,30.3463953,"2023-07-24",23,2,"Good"
24,"2023-05-30","2023-05-30","Yusuf Batil","host community member",33.5121095,9.9443302,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,0,0,0,0,1,0,1800,14,9.9443302,33.5121095,"2023-05-30",24,2,"Good"
25,"2023-05-30","2023-05-30","Ajuong Thok","refugee",30.2833937,9.9633895,"Public Tap/Standpipe","Elsewhere","No electricity in household","Flush/pour-flush to pit latrine","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,1,0,0,1,0,0,2,5,9.9633895,30.2833937,"2023-05-30",25,3,"Good"
26,"2023-06-26","2023-06-26","Yida","host community member",29.976502,9.9142175,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine without slab/open pit","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",1,0,0,1,0,1,0,90,10,9.9142175,29.976502,"2023-06-26",26,2,"Good"
27,"2023-04-20","2023-04-20","GOROM","refugee",31.4447596,4.7591642,"Public Tap/Standpipe","Elsewhere","Dry cell battery / torch","Pit latrine with slab","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,0,0,0,1,1,0,196,7,4.7591642,31.4447596,"2023-04-20",27,3,"Good"
28,"2023-09-06","2023-09-06","Pamir","refugee",30.3445703,9.9140192,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine with slab","Yes","Three stone stove/open fire","Wood","Unrelated Person","Yes",1,0,0,0,1,1,0,60,7,9.9140192,30.3445703,"2023-09-06",28,3,"Good"
29,"2023-06-15","2023-06-15","Kaya","refugee",33.5868995,10.1043691,"Public Tap/Standpipe","Elsewhere","No electricity in household","Flush/pour-flush to pit latrine","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,0,0,1,1,1,0,59888,6,10.1043691,33.5868995,"2023-06-15",29,3,"Good"
30,"2023-05-10","2023-05-10","Ajuong Thok","refugee",30.2749202,9.967283,"Public Tap/Standpipe","Elsewhere","No electricity in household","Flush/pour-flush to pit latrine","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,1,0,1,1,1,0,1,8,9.967283,30.2749202,"2023-05-10",30,4,"Good"
31,"2023-06-22","2023-06-22","Kaya","refugee",33.5929638,10.1107822,"Public Tap/Standpipe","In Own Dwelling","No electricity in household","Ventilated improved pit latrine","Yes","Three stone stove/open fire","Woodchips","Unrelated Person","No",1,1,0,0,1,0,0,0,12,10.1107822,33.5929638,"2023-06-22",31,3,"Good"
32,"2023-07-29","2023-07-29","Doro","refugee",33.7605091,9.9923352,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,0,0,0,0,0,0,59887,7,9.9923352,33.7605091,"2023-07-29",32,1,"Poor"
33,"2023-08-29","2023-08-29","Pamir","refugee",30.3529427,9.9136508,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine with slab","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",1,1,0,0,1,0,0,20,10,9.9136508,30.3529427,"2023-08-29",33,3,"Good"
34,"2023-08-21","2023-08-21","Yusuf Batil","refugee",33.5723347,9.9570334,"Public Tap/Standpipe","Elsewhere","No electricity in household","Flush/pour-flush to pit latrine","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,0,0,1,1,0,0,59905,3,9.9570334,33.5723347,"2023-08-21",34,2,"Good"
35,"2023-07-07","2023-07-07","Yusuf Batil","refugee",33.5722335,9.9650881,"Public Tap/Standpipe","In Own Yard/Plot","No electricity in household","Ventilated improved pit latrine","Yes","Three stone stove/open fire","Woodchips","Unrelated Person","No",1,1,0,0,1,0,0,0,4,9.9650881,33.5722335,"2023-07-07",35,3,"Good"
36,"2023-07-15","2023-07-15","Yusuf Batil","refugee",33.5807318,9.9716243,"Public Tap/Standpipe","Elsewhere","No electricity in household","Flush/pour-flush to pit latrine","Yes","Build stove with bricks and/or mud","Coal/lignite unprocessed","Unrelated Person","No",1,0,0,0,1,0,0,300,6,9.9716243,33.5807318,"2023-07-15",36,2,"Good"
37,"2023-06-12","2023-06-12","Doro","host community member",33.7277404,9.9597359,"Cart With Small Tank/Drum",NA,"No electricity in household","Flush/pour-flush to pit latrine","Yes","Moveable firepan","Coal/lignite unprocessed","Respondent or another HH member","Yes",1,0,0,1,1,0,0,1560,8,9.9597359,33.7277404,"2023-06-12",37,2,"Good"
38,"2023-08-24","2023-08-24","Pamir","refugee",30.3598697,9.9119082,"Public Tap/Standpipe","Elsewhere","No electricity in household","Ventilated improved pit latrine","Yes","Three stone stove/open fire","Wood","Unrelated Person","Yes",1,0,0,1,1,0,0,180,7,9.9119082,30.3598697,"2023-08-24",38,2,"Good"
39,"2023-09-29","2023-09-29","Yida","host community member",29.9772344,9.9193018,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",1,0,0,0,0,0,0,30,2,9.9193018,29.9772344,"2023-09-29",39,1,"Poor"
40,"2023-06-26","2023-06-26","Yida","host community member",30.0054811,9.909937,"Tube Well/Borehole","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",1,0,0,0,0,1,0,360,11,9.909937,30.0054811,"2023-06-26",40,2,"Good"
41,"2023-07-08","2023-07-08","Yusuf Batil","refugee",33.571885,9.9771515,"Public Tap/Standpipe","Elsewhere","No electricity in household","Flush/pour-flush to pit latrine","Yes","Build stove with bricks and/or mud","Woodchips","Unrelated Person","No",1,0,0,0,1,0,0,120,7,9.9771515,33.571885,"2023-07-08",41,2,"Good"
42,"2023-06-14","2023-06-14","Kaya","refugee",33.5916425,10.1057985,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine with slab","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,0,0,0,1,0,0,59883,6,10.1057985,33.5916425,"2023-06-14",42,2,"Good"
43,"2023-07-08","2023-07-08","Gendrassa","refugee",33.6065633,9.9836847,"Piped Into Yard/Plot",NA,"No electricity in household","Flush/pour-flush to pit latrine","Yes","Build stove with bricks and/or mud","Wood","Unrelated Person","No",1,1,0,0,1,1,0,0,9,9.9836847,33.6065633,"2023-07-08",43,4,"Good"
44,"2023-05-29","2023-05-29","Kaya","refugee",33.5826841,10.0993103,"Public Tap/Standpipe","Elsewhere","No electricity in household","Flush/pour-flush to pit latrine","Yes","Moveable firepan","Coal/lignite unprocessed","Unrelated Person","No",1,0,0,0,1,0,0,1058,9,10.0993103,33.5826841,"2023-05-29",44,2,"Good"
45,"2023-04-29","2023-04-29","Ajuong Thok","refugee",30.2718928,9.97531,"Public Tap/Standpipe","Elsewhere","No electricity in household","Flush/pour-flush to pit latrine","No appliances in the household","Three stone stove/open fire","Woodchips","Respondent or another HH member","Yes",1,0,0,0,1,1,0,1178,8,9.97531,30.2718928,"2023-04-29",45,3,"Good"
46,"2023-04-30","2023-04-30","Doro","host community member",33.7510684,9.9706011,"Tube Well/Borehole","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",1,0,0,0,0,1,0,240,9,9.9706011,33.7510684,"2023-04-30",46,2,"Good"
47,"2023-08-28","2023-08-28","Pamir","refugee",30.3557585,9.9131474,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine with slab","Yes","Three stone stove/open fire","Wood","Unrelated Person","Yes",1,0,0,0,1,0,0,480,9,9.9131474,30.3557585,"2023-08-28",47,2,"Good"
48,"2023-05-06","2023-05-06","Doro","refugee",33.7676722,9.9875786,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,0,0,0,0,1,0,59885,12,9.9875786,33.7676722,"2023-05-06",48,2,"Good"
49,"2023-05-12","2023-05-12","MAKPANDU","refugee",28.6996285,4.7513218,"Tube Well/Borehole","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","Yes",1,1,0,0,0,0,0,1,6,4.7513218,28.6996285,"2023-05-12",49,2,"Good"
50,"2023-04-20","2023-04-20","Doro","host community member",33.7355762,9.9755654,"Tube Well/Borehole","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","Yes",1,1,0,0,0,1,0,5,8,9.9755654,33.7355762,"2023-04-20",50,3,"Good"
51,"2023-06-08","2023-06-08","Doro","host community member",33.7237085,9.960118,"Tube Well/Borehole","Elsewhere","No electricity in household","Flush/pour-flush to pit latrine","Yes","Build stove with bricks and/or mud","Coal/lignite unprocessed","Respondent or another HH member","Yes",1,0,0,1,1,0,0,240,10,9.960118,33.7237085,"2023-06-08",51,2,"Good"
52,"2023-04-18","2023-04-18","Ajuong Thok","refugee",30.2903971,9.9791714,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine with slab","Yes","Build stove with bricks and/or mud","Woodchips","Unrelated Person","Yes",1,0,0,0,1,0,0,300,8,9.9791714,30.2903971,"2023-04-18",52,2,"Good"
53,"2023-08-24","2023-08-24","Pamir","refugee",30.36047,9.9123228,"Public Tap/Standpipe","Elsewhere","No electricity in household","Ventilated improved pit latrine","Yes","Moveable firepan","Coal/lignite unprocessed","Unrelated Person","Yes",1,0,0,0,1,0,0,300,4,9.9123228,30.36047,"2023-08-24",53,2,"Good"
55,"2023-06-19","2023-06-19","Kaya","refugee",33.588976,10.104565,"Tube Well/Borehole","In Own Yard/Plot","No electricity in household","Pit latrine with slab","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,1,0,0,1,1,0,0,7,10.104565,33.588976,"2023-06-19",55,4,"Good"
56,"2023-08-18","2023-08-18","Yusuf Batil","host community member",33.5086378,9.9457179,"Tube Well/Borehole","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,1,0,0,0,1,0,1,6,9.9457179,33.5086378,"2023-08-18",56,3,"Good"
57,"2023-08-21","2023-08-21","Doro","host community member",33.8820916,9.983659,"Tube Well/Borehole","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",1,1,0,0,0,0,0,4,8,9.983659,33.8820916,"2023-08-21",57,2,"Good"
58,"2023-08-12","2023-08-12","Ajuong Thok","host community member",30.2879423,9.9339917,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine with slab","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",1,0,0,1,1,0,0,30,4,9.9339917,30.2879423,"2023-08-12",58,2,"Good"
59,"2023-08-05","2023-08-05","Doro","refugee",33.754363,9.9850735,"Public Tap/Standpipe","Elsewhere","No electricity in household","Flush/pour-flush to pit latrine","Yes","Three stone stove/open fire","Agricultural or crop residue/grass/ straw/ shrubs/ corn cobs","Unrelated Person","No",1,0,0,0,1,1,0,300,14,9.9850735,33.754363,"2023-08-05",59,3,"Good"
60,"2023-08-03","2023-08-03","Pamir","refugee",30.3468036,9.9071205,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine with slab","No appliances in the household","Three stone stove/open fire","Agricultural or crop residue/grass/ straw/ shrubs/ corn cobs","Unrelated Person","No",1,0,0,0,1,1,0,1058,5,9.9071205,30.3468036,"2023-08-03",60,3,"Good"
61,"2023-05-31","2023-05-31","Ajuong Thok","refugee",30.2745265,9.9595648,"Public Tap/Standpipe","Elsewhere","No electricity in household","Flush/pour-flush to pit latrine","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,1,0,1,1,0,0,2,5,9.9595648,30.2745265,"2023-05-31",61,3,"Good"
62,"2023-06-03","2023-06-03","Yusuf Batil","refugee",33.5860228,9.978032,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Build stove with bricks and/or mud","Coal/lignite unprocessed","Unrelated Person","No",1,0,0,0,0,0,0,600,6,9.978032,33.5860228,"2023-06-03",62,1,"Poor"
63,"2023-05-20","2023-05-20","Kaya","host community member",33.4510245,10.1279943,"Unprotected Dug Well","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",0,0,0,0,0,1,0,7,5,10.1279943,33.4510245,"2023-05-20",63,1,"Poor"
64,"2023-07-25","2023-09-28","Yei Town","refugee",30.6539731,4.0873801,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,0,0,0,0,0,0,5900,3,4.0873801,30.6539731,"2023-07-25",64,1,"Poor"
65,"2023-06-19","2023-06-19","MAKPANDU","refugee",28.4034833,4.5502634,"Tube Well/Borehole","Elsewhere","No electricity in household","Pit latrine with slab","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,1,0,0,1,0,0,15,3,4.5502634,28.4034833,"2023-06-19",65,3,"Good"
66,"2023-05-24","2023-05-24","MAKPANDU","refugee",28.428833,4.5727622,"Surface Water (River, Stream, Pond, Dam, Canal)","Elsewhere","No electricity in household","Pit latrine without slab/open pit","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",0,0,0,0,0,0,0,30,1,4.5727622,28.428833,"2023-05-24",66,0,"Poor"
67,"2023-05-01","2023-05-01","Doro","refugee",33.758679,9.9964244,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,0,0,0,0,0,0,59882,3,9.9964244,33.758679,"2023-05-01",67,1,"Poor"
68,"2023-05-04","2023-05-04","MAKPANDU","refugee",28.6957767,4.7522311,"Tube Well/Borehole","Elsewhere","No electricity in household","No facility/bush/field","No","0","0","Respondent or another HH member","Yes",1,0,0,0,0,0,0,60,2,4.7522311,28.6957767,"2023-05-04",68,1,"Poor"
69,"2023-08-10","2023-08-10","Doro","refugee",33.7741301,10.0122489,"Public Tap/Standpipe","Elsewhere","No electricity in household","Flush/pour-flush to pit latrine","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,0,0,0,1,0,0,600,6,10.0122489,33.7741301,"2023-08-10",69,2,"Good"
70,"2023-06-19","2023-06-19","Doro","host community member",33.740417,9.9615493,"Tube Well/Borehole","Elsewhere","No electricity in household","No facility/bush/field","Yes","Other, specify","Charcoal unprocessed","Respondent or another HH member","Yes",1,1,0,0,0,1,0,3,8,9.9615493,33.740417,"2023-06-19",70,3,"Good"
71,"2023-07-18","2023-07-18","Yida","host community member",29.9759214,9.9205816,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",1,0,0,0,0,1,0,59910,10,9.9205816,29.9759214,"2023-07-18",71,2,"Good"
72,"2023-09-26","2023-09-26","Yei Town","refugee",30.6618087,4.0926249,"Public Tap/Standpipe","In Own Yard/Plot","No electricity in household","Pit latrine with slab","No","0","0","Unrelated Person","No",1,1,0,1,1,0,0,0,1,4.0926249,30.6618087,"2023-09-26",72,3,"Good"
73,"2023-09-07","2023-09-07","Pamir","refugee",30.3574507,9.9119949,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine with slab","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",1,1,0,1,1,1,0,10,8,9.9119949,30.3574507,"2023-09-07",73,4,"Good"
74,"2023-06-15","2023-06-15","Yida","host community member",29.9804808,9.9216293,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",1,0,0,0,0,0,0,90,8,9.9216293,29.9804808,"2023-06-15",74,1,"Poor"
75,"2023-06-21","2023-06-21","Kaya","refugee",33.5902577,10.0990944,"Public Tap/Standpipe","Elsewhere","No electricity in household","Flush/pour-flush to pit latrine","Yes","Three stone stove/open fire","Woodchips","Unrelated Person","Yes",1,0,0,0,1,0,0,180,12,10.0990944,33.5902577,"2023-06-21",75,2,"Good"
76,"2023-07-13","2023-07-13","Gendrassa","refugee",33.621472,9.981851,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine without slab/open pit","Yes","Moveable firepan","Coal/lignite unprocessed","Unrelated Person","No",1,0,0,1,0,0,0,120,4,9.981851,33.621472,"2023-07-13",76,1,"Poor"
77,"2023-07-20","2023-07-20","Yusuf Batil","refugee",33.5879715,9.9919431,"Tube Well/Borehole","In Own Yard/Plot","No electricity in household","Pit latrine with slab","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,1,0,0,1,1,0,0,8,9.9919431,33.5879715,"2023-07-20",77,4,"Good"
78,"2023-06-13","2023-06-13","Doro","host community member",33.728734,9.9608137,"Cart With Small Tank/Drum",NA,"No electricity in household","Pit latrine without slab/open pit","Yes","Other, specify","Charcoal unprocessed","Unrelated Person","No",1,1,0,1,0,1,0,1,11,9.9608137,33.728734,"2023-06-13",78,3,"Good"
79,"2023-05-02","2023-05-02","Doro","refugee",33.7600321,9.9896152,"Public Tap/Standpipe","Elsewhere","No electricity in household","Flush/pour-flush to pit latrine","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",1,0,0,0,1,1,0,3601,30,9.9896152,33.7600321,"2023-05-02",79,3,"Good"
80,"2023-05-12","2023-05-12","Ajuong Thok","refugee",30.2832034,9.9718918,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine without slab/open pit","No appliances in the household","Three stone stove/open fire","Agricultural or crop residue/grass/ straw/ shrubs/ corn cobs","Unrelated Person","Yes",1,0,0,0,0,1,0,1058,5,9.9718918,30.2832034,"2023-05-12",80,2,"Good"
81,"2023-04-27","2023-04-27","Doro","refugee",33.7490568,9.9966787,"Tube Well/Borehole","Elsewhere","No electricity in household","Pit latrine without slab/open pit","No","0","0","Unrelated Person","No",1,0,0,1,0,0,0,70,6,9.9966787,33.7490568,"2023-04-27",81,1,"Poor"
82,"2023-08-12","2023-08-12","Ajuong Thok","host community member",30.2876161,9.9422019,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine with slab","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",1,0,0,0,1,1,0,59910,8,9.9422019,30.2876161,"2023-08-12",82,3,"Good"
83,"2023-05-26","2023-05-26","Doro","refugee",33.7423931,9.9868452,"Public Tap/Standpipe","Elsewhere","No electricity in household","Flush/pour-flush to pit latrine","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,0,0,1,1,1,0,59883,7,9.9868452,33.7423931,"2023-05-26",83,3,"Good"
84,"2023-08-01","2023-08-01","Doro","refugee",33.7511517,9.9855691,"Public Tap/Standpipe","Elsewhere","No electricity in household","Flush/pour-flush to pit latrine","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,0,0,1,1,1,0,59893,7,9.9855691,33.7511517,"2023-08-01",84,3,"Good"
85,"2023-05-18","2023-05-18","Yida","refugee",30.0868331,10.0964236,"Public Tap/Standpipe","Elsewhere","No electricity in household","Flush/pour-flush to pit latrine","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,1,0,1,1,0,0,5,7,10.0964236,30.0868331,"2023-05-18",85,3,"Good"
86,"2023-05-25","2023-05-25","Yusuf Batil","refugee",33.581711,9.9839167,"Protected Dug Well","In Own Yard/Plot","No electricity in household","Ventilated improved pit latrine","Yes","Three stone stove/open fire","Woodchips","Unrelated Person","No",1,1,0,0,1,0,0,0,6,9.9839167,33.581711,"2023-05-25",86,3,"Good"
87,"2023-07-07","2023-07-07","Pamir","refugee",30.3567825,9.9017038,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","Yes",1,0,0,0,0,1,0,360,10,9.9017038,30.3567825,"2023-07-07",87,2,"Good"
