"start","end","interviewdate","pop_groups","X_geopoint_longitude","X_geopoint_latitude","id","drinking_water_source","drinking_water_location","electicity_or_light_source_most_used","main_toilet_facility","cooking_at_hh_level","hh_cooking_source","hh_cooking_fuel","land_ownership","landownership_legal_docs","Improved_dw","Improved_dw_final","electricity","shared_san_facility","Improved_san","crowding_cat","Clean_cookingfuel","time_to_access_water_min","hh_size_001","lat","lon","living_conditions_score","living_conditions_category"
2023-12-15,2023-12-15,2023-12-15,"IDPs",29.6247879,9.5826342,170,"Public Tap/Standpipe","In Own Yard/Plot","Don't know","Pit latrine with slab","Yes","Three stone stove/open fire","Woodchips","Government Agency Or Municipality","No",0,0,0,1,0,1,0,0,6,9.5826342,29.6247879,1,"Poor"
2023-12-15,2023-12-15,2023-12-15,"Refugee returnees",29.6243272,9.5939214,175,"Public Tap/Standpipe","In Own Yard/Plot","No electricity in household","Pit latrine without slab/open pit","Yes","Three stone stove/open fire","Wood","Government Agency Or Municipality","No",0,0,0,1,0,1,0,0,6,9.5939214,29.6243272,1,"Poor"
2023-12-15,2023-12-15,2023-12-15,"Refugee returnees",29.6245791,9.5934405,176,"Public Tap/Standpipe","In Own Yard/Plot","No electricity in household","Pit latrine without slab/open pit","Yes","Moveable firepan","Wood","Government Agency Or Municipality","No",0,0,0,1,0,1,0,0,4,9.5934405,29.6245791,1,"Poor"
2023-12-15,2023-12-15,2023-12-15,"Refugee returnees",29.6240608,9.5919803,177,"Public Tap/Standpipe","In Own Yard/Plot","No electricity in household","Pit latrine without slab/open pit","Yes","Moveable firepan","Wood","Government Agency Or Municipality","No",0,0,0,1,0,0,0,0,3,9.5919803,29.6240608,0,"Poor"
2023-12-15,2023-12-15,2023-12-15,"Refugee returnees",29.6233575,9.5924348,178,"Public Tap/Standpipe","In Own Yard/Plot","No electricity in household","Pit latrine without slab/open pit","Yes","Three stone stove/open fire","Wood","Government Agency Or Municipality","No",0,0,0,1,0,1,0,0,4,9.5924348,29.6233575,1,"Poor"
2023-12-15,2023-12-15,2023-12-15,"Refugee returnees",29.6234002,9.5923008,179,"Public Tap/Standpipe","In Own Yard/Plot","No electricity in household","Pit latrine without slab/open pit","Yes","Moveable firepan","Wood","Government Agency Or Municipality","No",0,0,0,1,0,1,0,0,4,9.5923008,29.6234002,1,"Poor"
2023-12-15,2023-12-15,2023-12-15,"Refugee returnees",29.6238269,9.591909,180,"Public Tap/Standpipe","In Own Yard/Plot","No electricity in household","Pit latrine without slab/open pit","Yes","Moveable firepan","Wood","Government Agency Or Municipality","No",0,0,0,1,0,1,0,0,4,9.591909,29.6238269,1,"Poor"
2023-12-15,2023-12-15,2023-12-15,"Refugee returnees",29.623685,9.5924646,181,"Public Tap/Standpipe","In Own Yard/Plot","No electricity in household","Pit latrine without slab/open pit","Yes","Moveable firepan","Wood","Government Agency Or Municipality","No",0,0,0,1,0,0,0,0,2,9.5924646,29.623685,0,"Poor"
2023-12-15,2023-12-15,2023-12-15,"Refugee returnees",29.623216,9.5925648,182,"Public Tap/Standpipe","In Own Yard/Plot","No electricity in household","Pit latrine without slab/open pit","Yes","Moveable firepan","Wood","Government Agency Or Municipality","No",0,0,0,1,0,0,0,0,2,9.5925648,29.623216,0,"Poor"
2023-12-15,2023-12-15,2023-12-15,"Refugee returnees",29.6234138,9.5922991,183,"Tube Well/Borehole","In Own Yard/Plot","No electricity in household","Pit latrine without slab/open pit","Yes","Three stone stove/open fire","Wood","Government Agency Or Municipality","No",0,0,0,1,0,1,0,0,5,9.5922991,29.6234138,1,"Poor"
2023-12-15,2023-12-15,2023-12-15,"Refugee returnees",29.6231891,9.5922957,184,"Public Tap/Standpipe","In Own Yard/Plot","No electricity in household","Pit latrine without slab/open pit","Yes","Moveable firepan","Wood","Government Agency Or Municipality","No",0,0,0,1,0,0,0,0,2,9.5922957,29.6231891,0,"Poor"
2023-12-15,2023-12-15,2023-12-15,"Refugee returnees",29.6234383,9.5917956,185,"Tube Well/Borehole","In Own Yard/Plot","No electricity in household","Pit latrine without slab/open pit","Yes","Moveable firepan","Wood","Government Agency Or Municipality","No",0,0,0,1,0,0,0,0,3,9.5917956,29.6234383,0,"Poor"
2023-12-15,2023-12-15,2023-12-15,"Refugee returnees",29.6213433,9.5910803,187,"Tanker Truck/Water Vendor","In Own Yard/Plot","Solar home system","Pit latrine without slab/open pit","Yes","Three stone stove/open fire","Woodchips","Government Agency Or Municipality","Yes",1,1,1,1,0,0,0,0,3,9.5910803,29.6213433,3,"Good"
2023-12-15,2023-12-15,2023-12-15,"Refugee returnees",29.6193778,9.5911841,188,"Bottled Water","NA","Dry cell battery / torch","Pit latrine without slab/open pit","Yes","Three stone stove/open fire","Woodchips","Government Agency Or Municipality","Yes",1,0,0,1,0,0,0,0,3,9.5911841,29.6193778,1,"Poor"
2024-01-22,2024-01-22,2024-01-22,"IDPs",27.5953281,9.018576,189,"Tube Well/Borehole","In Own Yard/Plot","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Friend Or Relative","No",0,0,0,0,1,1,0,0,5,9.018576,27.5953281,2,"Good"
2024-01-22,2024-01-22,2024-01-22,"Refugee returnees",27.5816844,9.0123986,190,"Tube Well/Borehole","In Own Yard/Plot","No electricity in household","Pit latrine without slab/open pit","Yes","Three stone stove/open fire","Wood","Friend Or Relative","No",0,0,0,1,0,0,0,0,4,9.0123986,27.5816844,0,"Poor"
2024-01-29,2024-01-29,2024-01-29,"IDPs",28.4012639,9.2182418,195,"Piped Into Yard/Plot","NA","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Government Agency Or Municipality","No",0,0,0,0,1,0,0,0,3,9.2182418,28.4012639,1,"Poor"
2024-01-29,2024-01-29,2024-01-29,"IDPs",28.4016828,9.2185519,196,"Piped Into Yard/Plot","NA","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Government Agency Or Municipality","No",0,0,0,0,1,0,0,0,6,9.2185519,28.4016828,1,"Poor"
2024-01-29,2024-01-29,2024-01-29,"IDPs",28.4024421,9.2185295,197,"Piped Into Yard/Plot","NA","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Government Agency Or Municipality","No",0,0,0,0,1,1,0,0,6,9.2185295,28.4024421,2,"Good"
2024-01-29,2024-01-29,2024-01-29,"IDPs",28.4039051,9.2181449,198,"Piped Into Yard/Plot","NA","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Government Agency Or Municipality","No",0,0,0,0,1,0,0,0,3,9.2181449,28.4039051,1,"Poor"
2024-01-26,2024-01-26,2024-01-26,"IDPs",28.3628127,9.1221848,199,"Piped Into Yard/Plot","NA","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Government Agency Or Municipality","No",0,0,0,0,1,1,0,0,4,9.1221848,28.3628127,2,"Good"
2024-01-29,2024-01-29,2024-01-29,"IDPs",28.4039842,9.2179207,200,"Piped Into Yard/Plot","NA","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Government Agency Or Municipality","No",0,0,0,0,1,0,0,0,4,9.2179207,28.4039842,1,"Poor"
2024-01-26,2024-01-26,2024-01-26,"IDPs",28.3625202,9.1221268,201,"Piped Into Yard/Plot","NA","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Government Agency Or Municipality","No",0,0,0,0,1,0,0,0,5,9.1221268,28.3625202,1,"Poor"
2024-01-26,2024-01-26,2024-01-26,"IDPs",28.3627575,9.1221117,202,"Piped Into Yard/Plot","NA","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Government Agency Or Municipality","No",0,0,0,0,1,1,0,0,8,9.1221117,28.3627575,2,"Good"
2024-01-24,2024-01-24,2024-01-24,"IDPs",28.3624361,9.1230918,203,"Piped Into Yard/Plot","NA","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Government Agency Or Municipality","No",0,0,0,0,1,0,0,0,2,9.1230918,28.3624361,1,"Poor"
2024-01-24,2024-01-24,2024-01-24,"IDPs",28.3623472,9.1229478,204,"Piped Into Yard/Plot","NA","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Government Agency Or Municipality","No",0,0,0,0,1,1,0,0,6,9.1229478,28.3623472,2,"Good"
2024-01-23,2024-01-23,2024-01-23,"IDPs",28.3627964,9.1222184,205,"Piped Into Yard/Plot","NA","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Government Agency Or Municipality","No",0,0,0,0,1,1,0,0,4,9.1222184,28.3627964,2,"Good"
2024-01-23,2024-01-23,2024-01-23,"IDPs",28.3627447,9.1223709,206,"Piped Into Yard/Plot","NA","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Government Agency Or Municipality","No",0,0,0,0,1,0,0,0,2,9.1223709,28.3627447,1,"Poor"
2024-01-26,2024-01-26,2024-01-26,"IDPs",28.3608653,9.1241733,207,"Piped Into Yard/Plot","NA","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Government Agency Or Municipality","No",0,0,0,0,1,0,0,0,6,9.1241733,28.3608653,1,"Poor"
2024-01-29,2024-01-29,2024-01-29,"IDPs",28.4027715,9.2187853,208,"Piped Into Yard/Plot","NA","Local mini grid","No facility/bush/field","No","0","0","Government Agency Or Municipality","No",0,0,1,0,1,1,0,0,7,9.2187853,28.4027715,3,"Good"
2024-01-29,2024-01-29,2024-01-29,"IDPs",28.4032609,9.2187228,209,"Piped Into Yard/Plot","NA","Local mini grid","Pit latrine without slab/open pit","No","0","0","Government Agency Or Municipality","No",0,0,1,1,0,1,0,0,7,9.2187228,28.4032609,2,"Good"
2024-01-26,2024-01-26,2024-01-26,"IDPs",28.3588152,9.1235113,210,"Piped Into Yard/Plot","NA","Local mini grid","Pit latrine without slab/open pit","No","0","0","Government Agency Or Municipality","No",0,0,1,1,0,1,0,0,8,9.1235113,28.3588152,2,"Good"
2024-01-26,2024-01-26,2024-01-26,"Refugee returnees",28.3587522,9.1235899,212,"Piped Into Yard/Plot","NA","Local mini grid","Pit latrine without slab/open pit","No","0","0","Government Agency Or Municipality","No",0,0,1,0,0,1,0,0,8,9.1235899,28.3587522,2,"Good"
2024-01-26,2024-01-26,2024-01-26,"IDPs",28.3600418,9.1238862,214,"Piped Into Yard/Plot","NA","Local mini grid","Pit latrine without slab/open pit","No","0","0","Government Agency Or Municipality","No",0,0,1,1,0,1,0,0,7,9.1238862,28.3600418,2,"Good"
2024-01-25,2024-01-25,2024-01-25,"IDPs",28.5912126,9.2007385,217,"Piped Into Yard/Plot","NA","Local mini grid","No facility/bush/field","No","0","0","Government Agency Or Municipality","No",0,0,1,0,1,1,0,0,6,9.2007385,28.5912126,3,"Good"
2024-01-25,2024-01-25,2024-01-25,"IDPs",28.5908721,9.2000629,218,"Piped Into Yard/Plot","NA","Local mini grid","Pit latrine without slab/open pit","No","0","0","Government Agency Or Municipality","No",0,0,1,1,0,1,0,0,7,9.2000629,28.5908721,2,"Good"
2024-01-25,2024-01-25,2024-01-25,"IDPs",28.5910076,9.2000798,220,"Piped Into Yard/Plot","NA","Local mini grid","Pit latrine without slab/open pit","No","0","0","Government Agency Or Municipality","No",0,0,1,1,0,1,0,0,6,9.2000798,28.5910076,2,"Good"
2024-01-25,2024-01-25,2024-01-25,"IDPs",28.5911719,9.2000395,222,"Piped Into Yard/Plot","NA","Local mini grid","Pit latrine without slab/open pit","No","0","0","Government Agency Or Municipality","No",0,0,1,1,0,1,0,0,4,9.2000395,28.5911719,2,"Good"
2024-01-25,2024-01-25,2024-01-25,"Refugee returnees",28.5911014,9.1998732,224,"Piped Into Yard/Plot","NA","Local mini grid","Pit latrine without slab/open pit","No","0","0","Friend Or Relative","No",0,0,1,1,0,0,0,0,2,9.1998732,28.5911014,1,"Poor"
2024-01-25,2024-01-25,2024-01-25,"IDPs",28.5911539,9.1999324,225,"Piped Into Yard/Plot","NA","Local mini grid","Pit latrine without slab/open pit","No","0","0","Government Agency Or Municipality","No",0,0,1,0,0,1,0,0,5,9.1999324,28.5911539,2,"Good"
2024-01-25,2024-01-25,2024-01-25,"IDPs",28.5911091,9.1999624,227,"Piped Into Yard/Plot","NA","Local mini grid","Pit latrine without slab/open pit","No","0","0","Government Agency Or Municipality","No",0,0,1,1,0,0,0,0,3,9.1999624,28.5911091,1,"Poor"
2024-01-24,2024-01-24,2024-01-24,"IDPs",28.3603908,9.1236676,229,"Piped Into Yard/Plot","NA","Local mini grid","Pit latrine without slab/open pit","No","0","0","Government Agency Or Municipality","No",0,0,1,0,0,1,0,0,7,9.1236676,28.3603908,2,"Good"
2024-01-20,2024-01-20,2024-01-20,"IDPs",28.408714,9.0725237,232,"Piped Into Yard/Plot","NA","Dry cell battery / torch","No facility/bush/field","No","0","0","Government Agency Or Municipality","No",0,0,0,0,1,1,0,0,5,9.0725237,28.408714,2,"Good"
2024-01-18,2024-01-18,2024-01-18,"IDPs",28.5911677,9.201466,233,"Piped Into Dwelling","NA","No electricity in household","Flush/pour flush to the piped sewer system","No","0","0","Respondent or another HH member","No",0,0,0,1,0,0,0,0,5,9.201466,28.5911677,0,"Poor"
2024-01-20,2024-01-20,2024-01-20,"IDPs",28.4085081,9.0724681,234,"Piped Into Yard/Plot","NA","Dry cell battery / torch","No facility/bush/field","No","0","0","Government Agency Or Municipality","No",0,0,0,0,1,1,0,0,5,9.0724681,28.4085081,2,"Good"
2024-01-17,2024-01-17,2024-01-17,"IDPs",28.4032066,9.2184298,235,"Public Tap/Standpipe","In Own Dwelling","Don't know","Pit latrine with slab","No","0","0","Respondent or another HH member","No",0,0,0,0,0,0,0,0,6,9.2184298,28.4032066,0,"Poor"
2024-01-20,2024-01-20,2024-01-20,"IDPs",28.4091205,9.071639,236,"Piped Into Yard/Plot","NA","Dry cell battery / torch","Pit latrine without slab/open pit","No","0","0","Government Agency Or Municipality","No",0,0,0,1,0,1,0,0,7,9.071639,28.4091205,1,"Poor"
2024-01-20,2024-01-20,2024-01-20,"IDPs",28.4092106,9.0712657,237,"Piped Into Yard/Plot","NA","Don't know","Pit latrine without slab/open pit","No","0","0","Government Agency Or Municipality","No",0,0,0,1,0,1,0,0,6,9.0712657,28.4092106,1,"Poor"
2024-01-16,2024-01-22,2024-01-22,"IDPs",28.3358455,9.0011735,238,"Piped Into Dwelling","NA","No electricity in household","Pit latrine with slab","No","0","0","Respondent or another HH member","No",0,0,0,0,0,0,0,0,4,9.0011735,28.3358455,0,"Poor"
2024-01-19,2024-01-19,2024-01-19,"IDPs",28.5579213,9.1054859,239,"Piped Into Yard/Plot","NA","Don't know","Pit latrine without slab/open pit","No","0","0","Government Agency Or Municipality","No",0,0,0,0,0,1,0,0,4,9.1054859,28.5579213,1,"Poor"
2024-01-19,2024-01-19,2024-01-19,"IDPs",28.5578572,9.1050424,240,"Piped Into Yard/Plot","NA","Dry cell battery / torch","Pit latrine without slab/open pit","No","0","0","Government Agency Or Municipality","No",0,0,0,0,0,1,0,0,7,9.1050424,28.5578572,1,"Poor"
2024-01-19,2024-01-19,2024-01-19,"IDPs",28.5579042,9.1048163,241,"Tube Well/Borehole","In Own Yard/Plot","Don't know","Pit latrine without slab/open pit","No","0","0","Government Agency Or Municipality","No",0,0,0,1,0,1,0,0,5,9.1048163,28.5579042,1,"Poor"
2024-01-19,2024-01-19,2024-01-19,"IDPs",28.5580118,9.1048236,242,"Piped Into Yard/Plot","NA","Dry cell battery / torch","Pit latrine without slab/open pit","No","0","0","Government Agency Or Municipality","No",0,0,0,1,0,1,0,0,7,9.1048236,28.5580118,1,"Poor"
